"","id","town_name","num_fires","region","subregion","lon","lat"
"1",1,"LLANES",1725,"ASTURIAS","ASTURIAS",-4.7562159,43.4211483
"2",2,"CANIZA, A",1521,"GALICIA","PONTEVEDRA",-8.272978,42.2128861
"3",3,"CANGAS DEL NARCEA",1349,"ASTURIAS","ASTURIAS",-6.5498404,43.1773837
"4",4,"PILONA",1290,"ASTURIAS","ASTURIAS",-5.3520876,43.3202455
"5",5,"VIANA DO BOLO",1200,"GALICIA","OURENSE",-7.1130103,42.180337
"6",6,"MUINOS",1176,"GALICIA","OURENSE",-7.9847368,41.9542371
"7",7,"MANZANEDA",1127,"GALICIA","OURENSE",-7.2346105,42.310337
"8",8,"GUDINA, A",1081,"GALICIA","OURENSE",-7.1387946,42.0607427
"9",9,"NEVES, AS",1074,"GALICIA","PONTEVEDRA",-8.4141173,42.0881378
"10",10,"CANGAS DE ONIS",1067,"ASTURIAS","ASTURIAS",-5.1310133,43.3506251
"11",11,"MONDARIZ",1,"GALICIA","PONTEVEDRA",-8.4548628,42.2327102
"12",12,"TINEO",997,"ASTURIAS","ASTURIAS",-6.411729,43.3343326
"13",13,"LENA",929,"ASTURIAS","ASTURIAS",-89.8223426,42.3794586
"14",14,"MEZQUITA, A",924,"GALICIA","OURENSE",-3.6186362,37.1437842
"15",15,"SALVATERRA DE MINO",894,"GALICIA","PONTEVEDRA",-8.5002777,42.0833836
"16",16,"RIBEIRA",860,"GALICIA","A CORUNA",-8.9922481,42.5540645
"17",17,"CHANDREXA DE QUEIXA",854,"GALICIA","OURENSE",-7.3815397,42.2545377
"18",18,"POBRA DE TRIVES, A",852,"GALICIA","OURENSE",-7.2538097,42.3393468
"19",19,"SANTA COMBA",841,"GALICIA","A CORUNA",-8.8047453,43.0335526
"20",20,"BOIRO",827,"GALICIA","A CORUNA",-8.8833538,42.647476
"21",21,"PONTEAREAS",824,"GALICIA","PONTEVEDRA",-8.5064757,42.1756174
"22",22,"TOMINO",818,"GALICIA","PONTEVEDRA",9.4505993,42.9436379
"23",23,"OVIEDO",760,"ASTURIAS","ASTURIAS",-5.8493887,43.3619145
"24",24,"GRADO",744,"ASTURIAS","ASTURIAS",13.3863992,45.6817741
"25",25,"SANTIAGO DE COMPOSTELA",742,"GALICIA","A CORUNA",-8.5448445,42.8782132
"26",26,"CARBALLO",737,"GALICIA","A CORUNA",-8.6915264,43.2128217
"27",27,"CUALEDRO",736,"GALICIA","OURENSE",-7.5938025,41.9888676
"28",28,"RODEIRO",711,"GALICIA","PONTEVEDRA",-7.9463468,42.6484754
"29",29,"CASTRO CALDELAS",706,"GALICIA","OURENSE",-7.4148708,42.3745086
"30",30,"ALLANDE",705,"ASTURIAS","ASTURIAS",-6.7065914,43.2488376
"31",31,"LALIN",695,"GALICIA","PONTEVEDRA",-8.1110256,42.6611505
"32",32,"FORCAREI",684,"GALICIA","PONTEVEDRA",-8.3519713,42.5879109
"33",33,"VILARINO DE CONSO",684,"GALICIA","OURENSE",-7.1832724,42.1660568
"34",34,"SALCEDA DE CASELAS",662,"GALICIA","PONTEVEDRA",-8.560052,42.0999333
"35",35,"AGOLADA",660,"GALICIA","PONTEVEDRA",-8.0206104,42.7617021
"36",36,"MONTERREI",646,"GALICIA","OURENSE",-7.4492396,41.9470179
"37",37,"ARBO",641,"GALICIA","PONTEVEDRA",-89.6340164,31.7281514
"38",38,"PONTEVEDRA",640,"GALICIA","PONTEVEDRA",-8.6446202,42.4298846
"39",39,"COVELO",633,"GALICIA","PONTEVEDRA",-8.3632834,42.2319488
"40",40,"ALLER",612,"ASTURIAS","ASTURIAS",1.897789,49.96312
"41",41,"CALVOS DE RANDIN",608,"GALICIA","OURENSE",-7.8612767,41.9375526
"42",42,"MIERES",606,"ASTURIAS","ASTURIAS",-5.7785282,43.249719
"43",43,"ESTRADA, A",588,"GALICIA","PONTEVEDRA",-41.9499647,-4.1379619
"44",44,"VILALBA",584,"GALICIA","LUGO",-7.6807717,43.2974899
"45",45,"RIOS",584,"GALICIA","OURENSE",-98.2650068,27.4517023
"46",46,"VIGO",581,"GALICIA","PONTEVEDRA",-8.7207268,42.2405989
"47",47,"LUGO",579,"GALICIA","LUGO",-7.5567582,43.0097384
"48",48,"LOBIOS",578,"GALICIA","OURENSE",-8.0833511,41.9011352
"49",49,"CARBALLEDA DE VALDEORRAS",576,"GALICIA","OURENSE",-6.8565427,42.3265529
"50",50,"OURENSE",575,"GALICIA","OURENSE",-7.863881,42.3357893
"51",51,"MAZARICOS",562,"GALICIA","A CORUNA",-8.9923492,42.9398891
"52",52,"CABRALES",558,"ASTURIAS","ASTURIAS",-4.8460518,43.316032
"53",53,"PORRINO, O",556,"GALICIA","PONTEVEDRA",-8.6177291,42.1608459
"54",54,"PARRES",551,"ASTURIAS","ASTURIAS",-5.2057909,43.3462534
"55",55,"GONDOMAR",546,"GALICIA","PONTEVEDRA",-8.7613242,42.1115469
"56",56,"SIERO",535,"ASTURIAS","ASTURIAS",-5.6608158,43.3915032
"57",57,"DOZON",534,"GALICIA","PONTEVEDRA",-8.0225702,42.5845225
"58",58,"COTOBADE",532,"GALICIA","PONTEVEDRA",-8.5062007,42.4894695
"59",59,"MELON",527,"GALICIA","OURENSE",-8.2137792,42.2586199
"60",60,"BELMONTE DE MIRANDA",520,"ASTURIAS","ASTURIAS",-6.2588369,43.2549639
"61",61,"BADAJOZ",514,"EXTREMADURA","BADAJOZ",-6.9706535,38.8794495
"62",62,"MACEDA",509,"GALICIA","OURENSE",-7.6520984,42.268791
"63",63,"VEGA DE PAS",506,"CANTABRIA","CANTABRIA",-3.7822445,43.1577629
"64",64,"VILARDEVOS",499,"GALICIA","OURENSE",-7.3125592,41.907314
"65",65,"PORTO DO SON",495,"GALICIA","A CORUNA",-9.0059861,42.7245572
"66",66,"BAZTAN",495,"NAVARRA","NAVARRA",-1.4821482,43.2038809
"67",67,"LAVIANA",493,"ASTURIAS","ASTURIAS",-5.9080631,43.5899686
"68",68,"MOS",491,"GALICIA","PONTEVEDRA",-162.0628295,64.6946462
"69",69,"RIBADESELLA",490,"ASTURIAS","ASTURIAS",-5.056138,43.4630834
"70",70,"CALDAS DE REIS",489,"GALICIA","PONTEVEDRA",-8.642126,42.6041774
"71",71,"VERIN",489,"GALICIA","OURENSE",-7.4349526,41.9402591
"72",72,"SILLEDA",487,"GALICIA","PONTEVEDRA",-8.2445422,42.7020616
"73",73,"PALAS DE REI",480,"GALICIA","LUGO",-7.8687588,42.8734666
"74",74,"RAIRIZ DE VEIGA",478,"GALICIA","OURENSE",-7.8323805,42.0826804
"75",75,"ORDES",462,"GALICIA","A CORUNA",-8.4080662,43.0763738
"76",76,"ONIS",457,"ASTURIAS","ASTURIAS",-4.9662608,43.308728
"77",77,"PINOR",456,"GALICIA","OURENSE",-8.0073191,42.4996263
"78",78,"CACERES",451,"EXTREMADURA","CACERES",-6.3724247,39.4752765
"79",79,"CABUERNIGA",450,"CANTABRIA","CANTABRIA",-4.3122234,43.202106
"80",80,"OIMBRA",445,"GALICIA","OURENSE",-7.4665354,41.8887165
"81",81,"FERROL",445,"GALICIA","A CORUNA",-8.2193451,43.489646
"82",82,"BALTAR",438,"GALICIA","OURENSE",-7.7158727,41.9511378
"83",83,"SAVINAO, O",435,"GALICIA","LUGO",-7.654811,42.6470935
"84",84,"REDONDELA",418,"GALICIA","PONTEVEDRA",-8.6091703,42.2818519
"85",85,"SAN CRISTOVO DE CEA",413,"GALICIA","OURENSE",-7.9483898,42.5003868
"86",86,"COSPEITO",412,"GALICIA","LUGO",-7.559643,43.214231
"87",87,"ZAS",404,"GALICIA","A CORUNA",-8.915089,43.0988197
"88",88,"HERMISENDE",396,"CASTILLA Y LEON","ZAMORA",-6.8960964,41.9682533
"89",89,"CORISTANCO",392,"GALICIA","A CORUNA",-8.7609893,43.1904421
"90",90,"NEGREIRA",389,"GALICIA","A CORUNA",-8.7362547,42.9104919
"91",91,"LANGREO",385,"ASTURIAS","ASTURIAS",-5.6960562,43.3081128
"92",92,"CARBALLEDO",384,"GALICIA","LUGO",-7.8291466,42.5209619
"93",93,"AMES",381,"GALICIA","A CORUNA",-93.6319131,42.0307812
"94",94,"POIO",379,"GALICIA","PONTEVEDRA",-8.657474,42.4341563
"95",95,"BANDE",376,"GALICIA","OURENSE",-7.9729094,42.0308056
"96",96,"BARCO DE VALDEORRAS, O",374,"GALICIA","OURENSE",-6.9855705,42.4164275
"97",97,"LOBEIRA",368,"GALICIA","OURENSE",-8.0395898,41.9864569
"98",98,"GUNTIN",361,"GALICIA","LUGO",-7.700263,42.8885848
"99",99,"VALDES",361,"ASTURIAS","ASTURIAS",-60.2428683,-33.3202302
"100",100,"ARTEIXO",360,"GALICIA","A CORUNA",-8.5102974,43.3038683
